,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
451,Islamkot,PK,24.6997,70.177,91.9,34,42,10.07,scattered clouds
452,Bengkulu,ID,-3.8004,102.2655,83.12,69,29,6.82,scattered clouds
453,Buala,SB,-8.145,159.5921,84.67,61,95,6.82,overcast clouds
454,Lakhnadon,IN,22.6,79.6,79.43,78,73,12.86,broken clouds
455,Pafos,CY,34.7667,32.4167,64.18,55,20,11.5,few clouds
456,Ambilobe,MG,-13.2,49.05,82.08,43,5,6.58,clear sky
457,Najran,SA,17.4924,44.1277,75.85,19,54,3.44,broken clouds
458,Jumla,NP,29.2747,82.1838,55.78,95,100,2.8,overcast clouds
459,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,94,75,16.75,broken clouds
460,Olafsvik,IS,64.8945,-23.7142,43.57,66,98,8.5,overcast clouds
461,Kloulklubed,PW,7.0419,134.2556,86.5,70,18,6.22,few clouds
462,Pevek,RU,69.7008,170.3133,32.16,98,100,9.22,light snow
463,Kirksville,US,40.1948,-92.5833,56.05,93,0,0.0,clear sky
464,Kashi,CN,39.4547,75.9797,54.61,62,100,8.95,overcast clouds
465,Acajutla,SV,13.5928,-89.8275,78.06,80,100,4.7,overcast clouds
466,Purpe,RU,64.4803,76.6897,36.95,72,65,7.49,broken clouds
467,Sakakah,SA,29.9697,40.2064,78.37,17,0,7.63,clear sky
468,Verkhnevilyuysk,RU,63.4453,120.3167,30.02,77,100,9.46,overcast clouds
469,Roblin,CA,51.23,-101.3565,30.88,69,24,6.44,few clouds
470,Sankrail,IN,22.55,88.2,82.42,65,21,7.23,light rain
471,Sola,VU,-13.8833,167.55,80.89,74,23,12.59,few clouds
472,Mungaa,TZ,-4.9667,34.8833,61.57,69,98,11.79,overcast clouds
473,Sukhumi,GE,43.0033,41.0153,63.7,94,100,3.09,overcast clouds
474,Gawler,AU,-34.6,138.7333,76.96,57,4,12.3,clear sky
475,Remetea Mare,RO,45.7794,21.3761,46.51,98,0,5.99,clear sky
476,Nam Dinh,VN,20.4167,106.1667,85.26,70,44,8.34,scattered clouds
477,Anqing,CN,30.5092,117.0506,56.55,85,100,10.31,overcast clouds
478,Braunau,CZ,50.5857,16.3318,53.15,100,51,6.29,broken clouds
479,Chifeng,CN,42.2683,118.9636,53.58,14,65,3.98,broken clouds
480,Seoul,KR,37.5683,126.9778,67.6,60,75,4.61,broken clouds
481,Benicarlo,ES,40.4165,0.4271,65.25,81,35,7.7,scattered clouds
482,Grindavik,IS,63.8424,-22.4338,41.47,87,75,6.91,broken clouds
483,Nieuw Amsterdam,SR,5.8833,-55.0833,79.02,90,13,8.86,few clouds
484,Mana,GF,5.6592,-53.7767,77.77,88,5,10.45,clear sky
485,Osoyoos,CA,49.0331,-119.4524,59.76,77,88,0.0,overcast clouds
486,Te Anau,NZ,-45.4167,167.7167,42.08,83,89,4.38,overcast clouds
487,Pangody,RU,65.85,74.4859,36.55,74,53,11.52,broken clouds
488,Mehamn,NO,71.0357,27.8492,42.75,81,40,12.66,scattered clouds
489,Panorama,GR,40.5878,23.0315,57.9,66,43,5.99,scattered clouds
490,Muana,BR,-1.5283,-49.2167,77.95,79,24,8.12,few clouds
491,Pathein,MM,16.7833,94.7333,88.27,66,64,5.37,broken clouds
492,Poum,NC,-20.2333,164.0167,74.64,63,98,13.22,overcast clouds
493,Manokwari,ID,-0.8667,134.0833,84.27,67,68,7.02,light rain
494,Sanok,PL,49.5557,22.2056,50.43,100,73,12.35,broken clouds
495,Leshukonskoye,RU,64.8989,45.7622,44.29,96,100,4.5,overcast clouds
496,Puyang,CN,29.4603,119.8861,60.67,93,100,4.0,overcast clouds
497,Maslovare,BA,44.5656,17.5336,39.24,44,100,3.36,overcast clouds
498,Moose Factory,CA,51.2585,-80.6094,44.6,93,100,6.91,overcast clouds
499,Yar-Sale,RU,66.8333,70.8333,37.24,75,97,14.67,overcast clouds
500,Huntsville,US,34.7304,-86.5861,57.81,75,0,1.99,clear sky
501,Baijiantan,CN,45.6333,85.1833,62.29,19,0,3.2,clear sky
502,Altay,CN,47.8667,88.1167,48.09,32,21,4.97,few clouds
503,Hirara,JP,24.8,125.2833,85.86,74,75,17.27,broken clouds
504,Camacha,PT,33.0833,-16.3333,67.42,78,40,17.27,scattered clouds
505,Sabha,LY,27.0377,14.4283,66.88,68,0,11.95,clear sky
506,Biloela,AU,-24.4167,150.5,73.02,58,58,18.66,broken clouds
507,Lakeway,US,30.3638,-97.9796,75.92,51,0,4.61,clear sky
508,Saint-Leu,RE,-21.15,55.2833,77.95,95,62,1.63,broken clouds
509,Tarko-Sale,RU,64.9225,77.785,36.73,65,83,5.57,broken clouds
510,Jibuti,DJ,11.5,42.5,81.63,53,94,6.55,overcast clouds
511,Kasempa,ZM,-13.4584,25.8338,68.68,24,27,11.1,scattered clouds
512,Atambua,ID,-9.1061,124.8925,85.12,56,98,2.28,overcast clouds
513,Mildura,AU,-34.2,142.15,77.07,62,42,6.55,scattered clouds
514,Russell,US,32.3502,-85.1999,56.8,53,1,2.77,clear sky
515,Mitsamiouli,KM,-11.3847,43.2844,75.49,73,20,9.22,few clouds
516,Hoyerswerda,DE,51.4333,14.25,62.01,84,72,12.73,broken clouds
517,Yaan,NG,7.3833,8.5667,71.22,98,100,4.07,overcast clouds
518,Semirom,IR,31.4167,51.5667,62.56,21,0,2.62,clear sky
519,Nagato,JP,34.3833,131.2,68.68,70,99,1.5,overcast clouds
520,Dinar,TR,38.065,30.1656,49.96,81,0,6.13,clear sky
521,Yubari,JP,43.0378,141.9578,51.93,64,82,11.39,broken clouds
522,Meaford,CA,44.6001,-80.583,62.42,64,99,10.27,overcast clouds
523,San Quintin,MX,30.4833,-115.95,68.36,84,29,4.27,scattered clouds
524,Hays,US,30.0502,-98.0336,74.16,54,0,3.78,clear sky
525,San Cristobal,VE,7.7669,-72.225,69.98,96,100,3.27,overcast clouds
526,Coihaique,CL,-45.5752,-72.0662,44.55,65,40,5.75,scattered clouds
527,Togur,RU,58.3631,82.8265,40.23,66,71,6.49,broken clouds
528,Leek,NL,53.1625,6.3764,55.36,51,2,10.36,clear sky
529,Blagoyevo,RU,63.3667,47.9167,43.21,96,100,2.15,overcast clouds
530,Eydhafushi,MV,5.1033,73.0708,81.54,77,98,17.87,overcast clouds
531,Harlingen,US,26.1906,-97.6961,79.9,88,0,5.75,clear sky
532,Providencia,MX,28.7167,-111.5833,83.1,56,0,2.66,clear sky
533,College,US,64.8569,-147.8028,42.91,79,40,0.0,scattered clouds
534,Port Keats,AU,-14.25,129.55,87.94,58,85,9.95,overcast clouds
535,Tarabuco,BO,-19.1667,-64.9167,49.73,34,5,3.78,clear sky
536,Biak,ID,-0.9131,122.8766,83.93,68,90,3.33,overcast clouds
537,Beloha,MG,-25.1667,45.05,79.88,56,3,1.59,clear sky
538,Prince Rupert,CA,54.3161,-130.3201,56.89,95,0,5.75,clear sky
539,Flinders,AU,-34.5833,150.8552,62.38,91,100,4.0,light rain
540,Chumikan,RU,54.7183,135.315,40.41,42,88,20.24,overcast clouds
541,Ramshir,IR,30.8946,49.4092,76.86,9,4,0.56,clear sky
542,Hambantota,LK,6.1241,81.1185,89.94,62,40,13.8,scattered clouds
543,Yuli,NG,9.6989,10.2744,73.6,83,86,1.19,overcast clouds
544,Aldan,RU,58.6031,125.3894,27.09,95,100,14.47,snow
545,Smithers,CA,54.7804,-127.1743,53.92,82,100,5.75,overcast clouds
546,Impfondo,CG,1.6381,18.0667,70.65,98,100,1.25,overcast clouds
547,Dakoro,NE,14.5106,6.765,83.46,47,75,4.25,broken clouds
548,Hashtrud,IR,37.4779,47.0508,67.77,17,0,1.59,clear sky
549,Tocache,PE,-8.1842,-76.5125,69.51,98,91,0.49,overcast clouds
550,Mondeville,FR,49.175,-0.3224,58.15,87,0,8.05,clear sky
551,Myaundzha,RU,63.0494,147.1858,16.12,85,100,7.83,light snow
552,Mezen,RU,65.8522,44.24,44.65,95,100,6.38,overcast clouds
553,Chipinge,ZW,-20.1883,32.6236,72.61,40,0,3.18,clear sky
554,Berlevag,NO,70.8578,29.0864,44.4,81,100,14.97,overcast clouds
555,Port Lavaca,US,28.615,-96.6261,77.05,77,0,5.75,clear sky
556,Rorvik,NO,64.8621,11.2373,50.11,76,75,14.97,light rain
557,Severnyy,RU,50.677,36.5532,46.44,93,0,6.71,clear sky
558,Nizwa,OM,22.9333,57.5333,87.69,26,11,2.15,few clouds
559,Lakki Marwat,PK,32.6079,70.9114,89.33,22,0,5.64,clear sky
560,Wewak,PG,-3.5534,143.6268,84.4,73,66,6.76,broken clouds
561,Kemijarvi,FI,66.7131,27.4306,46.72,94,100,15.7,light rain
562,Salinas,US,36.6777,-121.6555,66.0,93,100,4.61,mist
563,Tautira,PF,-17.7333,-149.15,76.6,71,82,23.35,broken clouds
564,Yambio,SS,4.5721,28.3955,68.38,95,75,2.55,light rain
565,Sala,MA,34.0389,-6.8166,66.74,100,40,0.0,mist
566,Gadung,PH,6.8025,124.02,84.04,75,53,4.76,broken clouds
567,Yenagoa,NG,4.9247,6.2642,74.12,95,81,3.44,light rain
568,Novobirilyussy,RU,56.9514,90.6661,34.72,94,100,7.18,light snow
569,Moron,AR,-34.6534,-58.6198,62.96,91,98,6.08,light rain
570,Kutum,SD,14.2,24.6667,76.37,30,57,5.88,broken clouds
571,Ketchikan,US,55.3422,-131.6461,57.67,94,100,0.0,overcast clouds
572,Aguie,NE,13.506,7.7786,81.84,49,61,4.61,broken clouds
573,Lufilufi,WS,-13.8745,-171.5986,83.98,78,59,20.22,broken clouds
574,Dali,CN,25.7,100.1833,72.63,58,61,5.3,broken clouds
575,Mbandaka,CD,0.0487,18.2603,69.96,98,100,2.86,moderate rain
576,Ayan,RU,56.45,138.1667,38.46,45,77,17.13,broken clouds
577,Inirida,CO,3.8653,-67.9239,73.71,97,79,0.47,broken clouds
578,Fredericton,CA,45.9454,-66.6656,55.83,96,100,3.44,light rain
579,Quthing,LS,-30.4,27.7003,68.49,24,59,2.35,broken clouds
580,Camana,PE,-16.6228,-72.7111,58.89,85,27,11.99,scattered clouds
581,Samarai,PG,-10.6167,150.6667,82.8,77,65,10.07,broken clouds
582,Constitucion,CL,-35.3333,-72.4167,48.33,87,61,5.12,broken clouds
583,Aguia Branca,BR,-18.9831,-40.7403,70.84,93,79,4.12,broken clouds
584,Mersing,MY,2.4312,103.8405,84.11,84,40,4.61,scattered clouds
585,Bermejillo,MX,25.8833,-103.6167,69.04,64,48,11.61,scattered clouds
586,Skole,UA,49.0372,23.5135,44.38,90,94,7.83,overcast clouds
587,Emerald,AU,-23.5333,148.1667,81.34,47,51,9.15,broken clouds
588,Keetmanshoop,NA,-26.5833,18.1333,58.03,42,0,6.78,clear sky
589,Ouegoa,NC,-20.35,164.4333,75.4,59,98,7.34,overcast clouds
590,Greenwood,US,34.1668,-82.1165,56.01,87,0,0.0,clear sky
591,Velasco Ibarra,EC,-1.05,-79.6167,75.16,72,99,5.46,overcast clouds
592,Miri,MY,4.4148,114.0089,86.14,74,40,6.91,scattered clouds
593,Airai,TL,-8.9266,125.4092,75.27,53,98,2.98,overcast clouds
594,Meadow Lake,US,34.8014,-106.5436,54.88,94,100,7.38,overcast clouds
595,Mount Isa,AU,-20.7333,139.5,91.17,31,75,4.61,broken clouds
596,Broome,US,42.2506,-75.833,52.07,78,4,2.04,clear sky
597,Carbondale,US,37.7273,-89.2168,58.01,71,0,3.44,clear sky
598,Wamba,NG,8.9333,8.6,70.36,92,97,1.45,overcast clouds
599,Thunder Bay,CA,48.4001,-89.3168,53.58,87,100,6.91,overcast clouds
600,Roswell,US,34.0232,-84.3616,60.58,72,0,0.0,clear sky
601,Kampene,CD,-3.6,26.6667,68.27,94,99,2.37,overcast clouds
602,Muros,ES,42.7762,-9.0603,64.09,81,33,12.77,scattered clouds
603,Kokopo,PG,-4.352,152.2633,86.0,62,100,10.45,overcast clouds
604,Havelock,US,34.8791,-76.9013,60.93,92,0,3.27,clear sky
605,Ghotki,PK,28.006,69.3161,93.18,26,0,4.85,clear sky
606,Salinopolis,BR,-0.6136,-47.3561,79.7,77,5,12.03,clear sky
607,Bandarbeyla,SO,9.4942,50.8122,82.38,64,16,20.83,few clouds
608,Ikwiriri,TZ,-7.9562,38.9716,75.79,70,30,1.43,scattered clouds
609,Senekal,ZA,-28.3197,27.6208,68.22,42,3,5.5,clear sky
610,Obidos,BR,-1.9175,-55.5181,79.9,55,9,4.54,clear sky
611,Kushima,JP,31.4583,131.2333,76.24,69,86,6.87,overcast clouds
612,San Carlos De Bariloche,AR,-41.1456,-71.3082,41.02,81,75,29.93,broken clouds
613,Kununurra,AU,-15.7667,128.7333,96.78,38,63,8.05,broken clouds
614,Namatanai,PG,-3.6667,152.4333,85.14,68,91,10.98,light rain
615,Siniscola,IT,40.5719,9.6922,51.35,65,6,3.91,clear sky
616,Luancheng,CN,37.8792,114.6517,60.96,39,100,5.93,overcast clouds
617,Sorland,NO,67.667,12.6934,48.06,79,100,36.75,overcast clouds
618,Sidi Ali,DZ,36.0998,0.4206,66.47,68,38,2.57,scattered clouds
619,Neiafu,TO,-18.65,-173.9833,81.28,78,75,10.36,broken clouds
620,Anloga,GH,5.7947,0.8973,77.13,88,100,11.18,overcast clouds
621,Skegness,GB,53.1436,0.3363,48.27,78,0,19.57,clear sky
622,Korla,CN,41.7597,86.1469,62.91,23,33,7.74,scattered clouds
623,Cehegin,ES,38.0924,-1.7985,61.45,93,13,2.28,few clouds
624,Pyaozerskiy,RU,65.8333,31.1667,45.99,94,100,15.55,light rain
625,Zhangye,CN,38.9342,100.4517,57.4,23,5,6.64,clear sky
626,Stornoway,GB,58.2093,-6.3865,50.04,87,75,19.57,broken clouds
627,Sarangani,PH,5.4033,125.4636,83.37,75,41,17.11,scattered clouds
628,Rodrigues Alves,BR,-7.738,-72.6509,75.4,80,78,1.88,broken clouds
629,Tiksi,RU,71.6872,128.8694,24.58,87,100,15.66,light snow
630,Kahta,TR,37.7855,38.6237,70.97,44,0,1.61,clear sky
631,Putnam,US,36.1667,-85.65,56.35,92,0,0.0,clear sky
632,Antsohihy,MG,-14.8796,47.9875,80.22,44,0,8.23,clear sky
633,Banda Aceh,ID,5.5577,95.3222,82.63,72,94,13.22,overcast clouds
634,La Ronge,CA,55.1001,-105.2842,34.05,69,20,4.61,few clouds
635,Kardla,EE,58.9978,22.7492,57.18,82,100,11.5,overcast clouds
636,Villanueva De La Serena,ES,38.9766,-5.7974,67.17,43,0,4.56,clear sky
637,Ndele,CF,8.4109,20.6473,68.77,96,97,3.36,light rain
638,La Plata,AR,-34.9215,-57.9545,61.03,84,100,8.03,overcast clouds
639,Vostok,RU,46.4856,135.8833,39.47,36,80,13.31,broken clouds
640,Consett,GB,54.854,-1.8316,49.48,86,24,18.07,few clouds
641,Plettenberg Bay,ZA,-34.0527,23.3716,55.35,78,41,7.14,scattered clouds
642,Norrtalje,SE,59.758,18.705,58.01,83,92,15.35,overcast clouds
643,Qui Nhon,VN,13.7667,109.2333,82.36,80,92,7.36,light rain
644,Casablanca,MA,33.5928,-7.6192,66.22,78,0,1.61,clear sky
645,Koksovyy,RU,48.1967,40.5989,49.39,71,90,8.16,overcast clouds
646,Arkhangelsk,RU,64.5401,40.5433,46.51,100,100,4.47,overcast clouds
647,Lashio,MM,22.9333,97.75,82.04,63,51,2.84,broken clouds
648,Killybegs,IE,54.6333,-8.45,55.35,83,94,23.53,overcast clouds
649,Whitecourt,CA,54.1502,-115.6855,43.84,100,100,8.05,overcast clouds
650,Killam,CA,52.7834,-111.8518,46.35,66,100,5.75,overcast clouds
651,Klatovy,CZ,49.3955,13.2951,55.47,91,47,6.89,scattered clouds
652,Lengshuijiang,CN,27.6881,111.4294,54.59,75,100,4.97,overcast clouds
653,Bereda,ES,43.2686,-7.5406,59.41,100,100,7.14,overcast clouds
654,Henties Bay,NA,-22.116,14.2845,55.29,86,75,6.22,broken clouds
655,Puerto El Triunfo,SV,13.2833,-88.55,76.32,89,100,2.8,overcast clouds
656,Pinar Del Rio,CU,22.4175,-83.6981,70.03,88,12,3.15,few clouds
657,Ekhabi,RU,53.5102,142.9671,38.5,59,97,18.59,light rain
658,Ulladulla,AU,-35.35,150.4667,61.7,92,99,9.22,overcast clouds
659,Tiznit,MA,29.5833,-9.5,69.42,53,84,1.12,broken clouds
660,Goderich,CA,43.7501,-81.7165,60.91,77,100,3.44,overcast clouds
661,Ca Mau,VN,9.1769,105.15,77.97,90,100,5.66,overcast clouds
662,Victoria Falls,ZW,-17.9235,25.843,73.35,27,0,4.76,clear sky
663,Dudinka,RU,69.4058,86.1778,31.62,89,100,2.06,overcast clouds
664,Nadvoitsy,RU,63.8667,34.3167,46.18,87,100,15.88,overcast clouds
665,Moirang,IN,24.5,93.7667,80.65,58,58,1.28,broken clouds
666,Slonim,BY,53.0867,25.3219,45.73,91,33,7.67,scattered clouds
667,Haikou,CN,20.0458,110.3417,87.93,70,75,17.9,broken clouds
668,Svetlogorsk,BY,52.6333,29.7333,45.18,94,97,6.6,overcast clouds
669,Lethem,GY,3.3803,-59.7968,76.8,80,56,6.06,broken clouds
670,Alamosa,US,37.4695,-105.87,49.98,66,100,10.36,overcast clouds
671,Neman,RU,55.0311,22.0264,48.27,89,1,11.48,clear sky
672,Marau,BR,-28.4492,-52.2,61.5,88,100,5.77,moderate rain
673,Moba,CN,33.2288,105.0179,47.93,85,100,4.23,overcast clouds
674,Campos,BR,-21.75,-41.3,69.12,89,100,3.8,overcast clouds
675,Sioux Lookout,CA,50.1001,-91.917,42.87,87,100,17.27,overcast clouds
676,Kalabo,ZM,-14.97,22.6814,72.64,19,28,8.99,scattered clouds
677,Eyl,SO,7.9803,49.8164,80.94,66,61,17.29,broken clouds
678,Wuchang,CN,44.9143,127.15,49.95,31,13,10.2,few clouds
679,Santa Barbara,US,34.7333,-120.0343,73.35,94,0,6.91,clear sky
